เลขข้อ TOR	เนื้อหา TOR	ตำแหน่งย่อหน้าในไฟล์
1	หลักการและเหตุผล	4
2	วัตถุประสงค์	9
2.1	เพื่อจัดหาระบบสารสนเทศ กระบวนการทำงาน และกำหนดคุณลักษณะในการพัฒนาที่เหมาะสมต่อหน่วยงานให้ก้าวสู่องค์กรอัจฉริยะ (SMART Organization)	10
2.2	เพื่อจัดหาระบบบริหารจัดการทรัพยากรองค์กร ด้านงบประมาณ ด้านการจัดซื้อจัดจ้าง ด้านบริหารพัสดุ ครุภัณฑ์ ด้านงานบัญชีการเงินและงานอื่น ๆ ให้สามารถช่วยลดขั้นตอนการปฏิบัติงาน ลดการใช้กระดาษและช่วยให้กระบวนการทำงานขององค์กรมีประสิทธิภาพมากยิ่งขึ้น	11
3	คุณสมบัติของผู้ยื่นข้อเสนอ	14
3.1	มีความสามารถตามกฎหมาย	15
3.2	ไม่เป็นบุคคลล้มละลาย	16
3.3	ไม่อยู่ระหว่างเลิกกิจการ	17
3.4	ไม่เป็นบุคคลซึ่งอยู่ระหว่างถูกระงับการยื่นข้อเสนอหรือทำสัญญากับหน่วยงานของรัฐไว้ชั่วคราวเนื่องจากเป็นผู้ที่ไม่ผ่านเกณฑ์การประเมินผลการปฏิบัติงานของผู้ประกอบการตามระเบียบที่รัฐมนตรีว่าการกระทรวงการคลังกำหนดตามที่ประกาศเผยแพร่ในระบบเครือข่ายสารสนเทศของกรมบัญชีกลาง	18
3.5	ไม่เป็นบุคคลซึ่งถูกระบุชื่อไว้ในบัญชีรายชื่อผู้ทิ้งงานและได้แจ้งเวียนชื่อให้เป็นผู้ทิ้งงานของหน่วยงานของรัฐในระบบเครือข่ายสารสนเทศของกรมบัญชีกลาง ซึ่งรวมถึงนิติบุคคลที่ผู้ทิ้งงานเป็นหุ้นส่วนผู้จัดการ กรรมการ ผู้จัดการ ผู้บริหาร ผู้มีอำนาจในการดำเนินงานในกิจการของนิติบุคคลนั้นด้วย	19
3.6	มีคุณสมบัติและไม่มีลักษณะต้องห้ามตามที่คณะกรรมการนโยบายการจัดซื้อจัดจ้าง และการบริหารพัสดุภาครัฐกำหนดในราชกิจจานุเบกษา	20
3.7	เป็นบุคคลธรรมดาหรือนิติบุคคล ผู้มีอาชีพขายพัสดุดังกล่าว	21
