ลำดับ	ชนิดข้อความ	ตำแหน่งในไฟล์	เลขข้อจาก TOR	ข้อความ TOR ต้นฉบับ	หมวด/Module	Frappe/ERPNext Coverage	สิ่งที่มีใน Standard	สิ่งที่ต้องทำเพิ่ม / Customization	Gap/Risk	Priority	Effort	หลักฐาน/Reference	หมายเหตุจาก Fit-Gap	ช่องให้เติมเอง
1	Paragraph	1		รายละเอียดคุณลักษณะเฉพาะ										
2	Paragraph	2		ระบบบริหารทรัพยากรองค์กร (Enterprise Resource Planning : ERP)										
3	Paragraph	4	1	๑. หลักการและเหตุผล										
4	Paragraph	5		สำนักงานคณะกรรมการการรักษาความมั่นคงปลอดภัยไซเบอร์แห่งชาติ (สกมช.) จัดตั้งขึ้นตามพระราชบัญญัติการรักษาความมั่นคงปลอดภัยไซเบอร์ พ.ศ. 2562 มีผลใช้บังคับเมื่อวันที่ 28 พฤษภาคม 2562 โดยมีวัตถุประสงค์เพื่อกำหนดนโยบาย มาตรการ แนวทางการรักษาความมั่นคงปลอดภัยไซเบอร์ สำหรับหน่วยงานภาครัฐและภาคเอกชนที่เป็นโครงสร้างพื้นฐานสำคัญทางสารสนเทศ ในการป้องกัน รับมือ และลดความเสี่ยงจากภัยคุกคามทางไซเบอร์ มิให้เกิดผลกระทบต่อความมั่นคงของรัฐ และความสงบเรียบร้อยภายในประเทศ รวมทั้งให้ สกมช. เป็นหน่วยงานรับผิดชอบงานตามพระราชบัญญัติ และประสาน การปฏิบัติงานร่วมกันทั้งภาครัฐและเอกชน ไม่ว่าในสถานการณ์ทั่วไปหรือสถานการณ์ที่เป็นภัยต่อความมั่นคงอย่างร้ายแรง อันจะทำให้การป้องกันและการรับมือกับภัยคุกคามทางไซเบอร์เป็นไปอย่างมีประสิทธิภาพ										
5	Paragraph	6		ปัจจุบัน สกมช. อยู่ระหว่างเริ่มต้นดำเนินงานตามภารกิจและพัฒนาระบบการดำเนินงานภายใน โดยวางระบบการดำเนินงานที่ได้มาตรฐานและใช้ระบบดิจิทัล (Digital) เต็มรูปแบบ ลดการใช้กระดาษ ทันต่อการเปลี่ยนแปลงเทคโนโลยี สกมช. จึงจัดหาระบบการดำเนินงานที่ได้มาตรฐาน และเพื่อให้ระบบบริหารงบประมาณ ระบบจัดซื้อจัดจ้าง ระบบบริหารพัสดุ ครุภัณฑ์ ระบบบัญชี การเงินและระบบอื่น ๆ ที่มีความจำเป็นสำหรับใช้ในการบริหารจัดการและติดตามการดำเนินงานของ สกมช. ที่มีประสิทธิภาพตอบสนองทิศทางการดำเนินงานของ สกมช.										
6	Paragraph	7		สกมช. ได้เล็งเห็นความสำคัญในการบูรณาการระบบสารสนเทศภายใน เพื่อให้มีการดำเนินการพัฒนาปรับปรุงโครงสร้างระบบสารสนเทศเพื่อบูรณาการฐานข้อมูลกับระบบสารสนเทศให้สามารถทำงานร่วมกันได้อย่างมีประสิทธิภาพทั้งในด้านความรวดเร็ว ความเชื่อถือ ความพร้อมใช้ ความทันสมัยของข้อมูล รวมทั้งการประหยัดการใช้ทรัพยากรทางด้านสารสนเทศ สกมช. ได้ดำเนินการวิเคราะห์และทราบถึงปัญหาของระบบสารสนเทศที่เกี่ยวกับกระบวนการทำงานเชิงสนับสนุนของหน่วยงานในปัจจุบัน เช่น ระบบบริหารงบประมาณ บัญชี การเงิน พัสดุ งานจัดซื้อจัดจ้าง และการติดตามและประเมินแผนการดำเนินงาน และทำการออกแบบกระบวนการทำงานที่เหมาะสมกับระเบียบข้อบังคับและการปฏิบัติของหน่วยงานในปีงบประมาณที่ผ่านมา จึงมีความประสงค์จะจัดหาระบบบริหารทรัพยากรองค์กร (Enterprise Resource Planning : ERP) เพื่อช่วยสนับสนุนการปฏิบัติงานภายในองค์กรให้สามารถปฏิบัติงานได้อย่างรวดเร็ว ถูกต้อง และมีประสิทธิภาพมากยิ่งขึ้น เพื่อสามารถปฏิบัติตามนโยบายและแผนกลยุทธ์ขององค์กรให้บรรลุเป้าหมาย โดยมีการเชื่อมโยงกระบวนการ ทำงานทั้งภายในและภายนอกอย่างมีระบบ บนแนวคิดในการพัฒนาระบบเทคโนโลยีสารสนเทศ เพื่อให้เกิดประสิทธิภาพสูงสุดและรองรับการขยายตัวของผู้ใช้งานในอนาคต										
7	Paragraph	9	2	๒. วัตถุประสงค์										
8	Paragraph	10	2.1	๒.1 เพื่อจัดหาระบบสารสนเทศ กระบวนการทำงาน และกำหนดคุณลักษณะในการพัฒนาที่เหมาะสมต่อหน่วยงานให้ก้าวสู่องค์กรอัจฉริยะ (SMART Organization)										
9	Paragraph	11	2.2	2.2 เพื่อจัดหาระบบบริหารจัดการทรัพยากรองค์กร ด้านงบประมาณ ด้านการจัดซื้อจัดจ้าง ด้านบริหารพัสดุ ครุภัณฑ์ ด้านงานบัญชีการเงินและงานอื่น ๆ ให้สามารถช่วยลดขั้นตอนการปฏิบัติงาน ลดการใช้กระดาษและช่วยให้กระบวนการทำงานขององค์กรมีประสิทธิภาพมากยิ่งขึ้น										
10	Paragraph	14	3	3. คุณสมบัติของผู้ยื่นข้อเสนอ										
11	Paragraph	15	3.1	๓.๑ มีความสามารถตามกฎหมาย										
12	Paragraph	16	3.2	๓.๒ ไม่เป็นบุคคลล้มละลาย										
13	Paragraph	17	3.3	๓.๓ ไม่อยู่ระหว่างเลิกกิจการ										
